StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q13,Q1,Q2,Q3,Q5,Q6,Q7,Q7_5_TEXT,Q8,Q9,Q9_7_TEXT,Q10,Q11,Q12,Q13,Q_RecaptchaStatus,Q_RecaptchaError
2026-04-02 11:12:09,2026-04-02 11:17:16,IP Address,128.6.147.77,100,307,True,2026-04-02 11:17:17,R_3u3lDsdlenpKKU9,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Agree,No,More tables to converse with friends and free samples!,Agree,Mixed options,,Yes,Daily/weekly challenges,,,Strongly agree,QR codes,,complete,
2026-04-02 13:02:02,2026-04-02 13:05:01,IP Address,128.6.147.117,100,178,True,2026-04-02 13:05:01,R_5lmhemGGWXN1UdX,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Agree,No,more seating please,Disagree,Shared long tables,,Yes,None,,more seating please,Agree,Events,more seating please,complete,
2026-04-03 08:02:07,2026-04-03 08:08:41,IP Address,107.77.225.151,100,394,True,2026-04-03 08:08:41,R_63Cphj3GrDhGF0J,,,,,40.7126,-74.0066,anonymous,EN,1,No,1-2 times/week,Agree,Yes,More seating on the upper floor would be nice.,Neutral,Mixed options,,Yes,Other:,"Challenges, theme days, creative prompts (not able to select multiple options)",Maybe an event where you get free coffee if you talk to someone new and learn something about them,Neutral,QR codes,Events on Cook/Doug,complete,
2026-04-03 08:46:56,2026-04-03 08:48:18,IP Address,104.28.58.9,100,82,True,2026-04-03 08:48:19,R_5c5jj34FsilCWhb,,,,,40.5667,-74.1451,anonymous,EN,1,Yes,1-2 times/week,Agree,"Not yet, but I would like to","Ummmm idk maybe like staff bios posted somewhere ",Agree,Mixed options,,Yes,Trivia or theme days,,"Same major ",Agree,Peer ambassadors,"Pet therapy ",complete,
2026-04-03 10:19:10,2026-04-03 10:59:24,IP Address,174.237.208.149,100,2414,True,2026-04-03 10:59:25,R_74HtTMhb1fyJgS1,,,,,40.6342,-74.2427,anonymous,EN,1,Yes,Occasionally,Strongly agree,Yes,"I would love if you brought back the live music occasionally, but I understand that seating is tight.",Agree,Other:,"No long tables, fees too much like high school. I like how it is now. I’ve had a couple students ask to sit with me when seating was limited. I would like to see more individual and double seating since a lot of students take up an entire 4 seat table the self. ",Not sure,Trivia or theme days,,"I’m staff and the majority of patrons are students. Although I’m not much older than them, it would be difficult to talk to someone new. Unfortunately a lot of students are too phone centric and it makes it hard to make friends. Themed tables might be cute (pop culture, anime, etc), but since seating is tight during rush hour, it would be hard to sit at tables of interest. ",Agree,Events,"A bit of everything. But honestly I wouldn’t mind faculty/staff highlights. Students tend to complain and they really don’t understand how complicated it is to run a community like Rutgers. It would be nice to occasionally highlight the hard work of faculty/staff. ",complete,
2026-04-03 11:12:12,2026-04-03 11:15:36,IP Address,128.6.147.106,100,203,True,2026-04-03 11:15:37,R_1wfrZpnUIfrOqZz,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,3-4 times/week,Strongly agree,Yes,I love that Harvest is getting the popularity it deserves!!! But I wish there were more seating areas since sometimes it is difficult to find a seat. Thanks for all that you guys do!,Agree,Mixed options,,Yes,Other:,All of the above,Probably only if it was through an event or if the person was sitting alone and also open to talking to someone new,Agree,Events,"I really enjoyed the Wellness Through Clay events here, so probably events similar to that. ",complete,
2026-04-03 11:18:55,2026-04-03 11:19:58,IP Address,128.6.147.21,100,62,True,2026-04-03 11:19:58,R_77Rw3RBYzEAasPn,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,Occasionally,Neutral,"Not yet, but I would like to",,Agree,Mixed options,,Yes,Creative prompts,,,Disagree,Table cards,,complete,
2026-04-03 11:23:52,2026-04-03 11:26:15,IP Address,128.6.147.42,100,143,True,2026-04-03 11:26:15,R_541wYbmjhEVJ3F3,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,3-4 times/week,Agree,"Not yet, but I would like to","more seating ",Neutral,Mixed options,,Not sure,Other:,"The select all that apply is broken for me, so I'd say conversation and creative prompts. ",,Neutral,Events,,complete,
2026-04-06 09:34:14,2026-04-06 09:46:29,IP Address,128.6.147.33,100,735,True,2026-04-06 09:46:29,R_5IQUYWFbX4Roj8D,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,Daily,Neutral,Yes,"longer tables ",Agree,Shared long tables,,Yes,Daily/weekly challenges,,"sharing a table, working on similar activities ",Agree,Table cards,nutrition workshops,complete,
2026-04-06 09:47:02,2026-04-06 09:48:27,IP Address,174.193.13.128,100,85,True,2026-04-06 09:48:27,R_7jeM9qVvWif1CRG,,,,,40.7182,-74.0476,anonymous,EN,1,Yes,3-4 times/week,Strongly agree,Yes,More tables and chairs!!,Agree,Mixed options,,Not sure,Creative prompts,,The food.,Agree,Table cards,Health centers and CAPS,complete,
2026-04-06 10:15:42,2026-04-06 10:19:55,IP Address,128.6.147.40,100,253,True,2026-04-06 10:19:55,R_35MzJKJlGKePk4d,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,Daily,Neutral,"Not yet, but I would like to",More seats,Disagree,Mixed options,,Yes,Trivia or theme days,,Events,Agree,QR codes,Not sure. Whatever is available!,complete,
2026-04-06 10:51:26,2026-04-06 10:53:56,IP Address,128.6.147.86,100,149,True,2026-04-06 10:53:57,R_507Wzc01hmc1KzI,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Agree,Yes,"More seating ",Agree,Mixed options,,Yes,Trivia or theme days,,If there was a set long table for single people,Disagree,Digital screens,"Idk what they r ",complete,
2026-04-06 10:51:19,2026-04-06 10:55:46,IP Address,128.6.147.123,100,267,True,2026-04-06 10:55:46,R_5Xps84ecKFO7MsS,,,,,40.5511,-74.4606,anonymous,EN,1,No,Occasionally,Neutral,Yes,"More seating, a clear sign of how to order before you walk in. What counts as a meal swipe vs breakfast before you enter so u can get an idea of what you want. ",Agree,Lounge seating,,Not sure,Resource bingo,,,Neutral,Table cards,,complete,
2026-04-09 09:40:33,2026-04-09 09:42:47,IP Address,128.6.147.55,100,134,True,2026-04-09 09:42:47,R_5DihnDRtk4Aeftd,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Agree,Yes,,Agree,Shared long tables,,Yes,Resource bingo,,Prompts about interests,Disagree,QR codes,Farm resources for living on campus,complete,
2026-04-02 10:11:32,2026-04-02 10:12:16,IP Address,128.6.147.67,43,44,False,2026-04-09 10:12:18,R_5vnooFtZVqtDbKF,,,,,40.5511,-74.4606,anonymous,EN,1,No,Occasionally,Agree,No,more seating,,,,,,,,,,,complete,
2026-04-02 10:13:36,2026-04-02 10:14:21,IP Address,128.6.147.84,64,44,False,2026-04-09 10:14:24,R_1r39Kng0ZS36ssZ,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Occasionally,Strongly agree,Yes,More seating,Agree,Mixed options,,No,,,,,,,complete,
2026-04-09 10:20:32,2026-04-09 10:23:22,IP Address,172.59.214.113,100,170,True,2026-04-09 10:23:23,R_7oyfKGrGlncxYmR,,,,,40.7641,-74.1654,anonymous,EN,1,Yes,3-4 times/week,Agree,Yes,Defintley better seating options can allow people to better connect with others !,Neutral,Other:,"I think having more tables, last year there was more tables even in the area where there is now only benches and chairs, I think tables here would be better because many people struggle to find seats and harvest can’t accommodate all. It’s sad seeing people sitting on the floor just to eat.",No,Resource bingo,,"Having engaging activities ",Agree,Digital screens,"Clubs and activities ",complete,
2026-04-09 12:14:03,2026-04-09 12:15:20,IP Address,128.6.147.66,100,76,True,2026-04-09 12:15:20,R_3qfhYgS2VmwVeOY,,,,,40.5511,-74.4606,anonymous,EN,1,No,3-4 times/week,Agree,Yes,More seating!!!,Neutral,Mixed options,,No,None,,,Disagree,Table cards,,complete,
2026-04-10 10:14:54,2026-04-10 10:16:57,IP Address,128.6.147.48,100,123,True,2026-04-10 10:16:58,R_5ebpTaXuMvaGagX,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Strongly agree,"Not yet, but I would like to",,Strongly agree,Round tables,,Yes,Resource bingo,,,Strongly agree,Events,,complete,
2026-04-10 10:16:56,2026-04-10 10:17:55,IP Address,172.226.202.5,100,59,True,2026-04-10 10:17:55,R_7R2L1au2VkLv0vT,,,,,40.7126,-74.0066,anonymous,EN,1,Yes,1-2 times/week,Strongly agree,Yes,Nothing it’s awesome,Strongly agree,Round tables,,Not sure,Conversation prompts,,N/a,Strongly agree,Table cards,Na,complete,
2026-04-10 10:15:09,2026-04-10 10:18:13,IP Address,128.6.147.112,100,184,True,2026-04-10 10:18:14,R_1e3nwtn67VaPmCB,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,1-2 times/week,Agree,Yes,"More seating would be lovely, but it’s really nice right now :)",Agree,Mixed options,,Yes,Trivia or theme days,,Not sure,Agree,QR codes,"Basic needs center information, bingo, art activities ",complete,
2026-04-10 10:16:08,2026-04-10 10:19:31,IP Address,128.6.147.77,100,203,True,2026-04-10 10:19:32,R_5wa8Q0mC0wypYLG,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Neutral,"Not yet, but I would like to","I'm not here very often, so I don't have any input ",Disagree,Round tables,,No,Conversation prompts,,"I also liked the daily/weekly challenges and trivia days options, I think table top activities could facilitate more interaction/conversation.",Agree,QR codes,"I'm not sure ",complete,
2026-04-10 10:17:22,2026-04-10 10:21:59,IP Address,128.6.147.103,100,277,True,2026-04-10 10:21:59,R_1lJP1QB4yvbUEdQ,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Agree,"Not yet, but I would like to","More events ",Neutral,Round tables,,Yes,Resource bingo,,Events,Agree,Events,,complete,
2026-04-10 10:18:03,2026-04-10 10:22:21,IP Address,107.77.224.83,100,258,True,2026-04-10 10:22:21,R_7MQnt9Xc5zZFCby,,,,,40.7126,-74.0066,anonymous,EN,1,No,3-4 times/week,Disagree,Yes,"More seating. ",Neutral,Other:,"Nothing would do that. People need to actively change the culture, seating is not going to do that. ",Not sure,None,,"A little sign on the table that you could flip around to indicate visually to other people that you’re welcome to strangers sitting in the empty seats at your table. Or a sign indicating whether you’re welcome to spontaneous conversation or not. ",Strongly disagree,Events,"Printers. ",complete,
2026-04-10 10:15:36,2026-04-10 10:24:02,IP Address,128.6.147.35,100,505,True,2026-04-10 10:24:02,R_6vASRIW6kIiQKR3,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,1-2 times/week,Agree,Yes,more seating!,Agree,Mixed options,,Yes,Trivia or theme days,,if they’re looking at the same thing i’m looking at—if they have smth on that i’m interested in,Neutral,Table cards,,complete,
2026-04-10 10:30:09,2026-04-10 10:32:04,IP Address,128.6.147.116,100,114,True,2026-04-10 10:32:04,R_1k0HiibsAm3SEkF,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Occasionally,Strongly agree,"Not yet, but I would like to",,Neutral,Mixed options,,Not sure,Conversation prompts,,,Agree,Table cards,,complete,
2026-04-10 10:30:17,2026-04-10 10:32:19,IP Address,146.75.245.38,100,122,True,2026-04-10 10:32:19,R_5iPeLXTeoH8LDl7,,,,,40.5511,-74.4606,anonymous,EN,1,Not sure,1-2 times/week,Agree,"Not yet, but I would like to",more seating,Neutral,Mixed options,,Not sure,Creative prompts,,they seem cool,Agree,Table cards,"coloring books for mental health ",complete,
2026-04-10 10:30:45,2026-04-10 10:32:27,IP Address,128.6.147.24,100,102,True,2026-04-10 10:32:27,R_5dFaB8m3lHseU76,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Neutral,Yes,"Slightly more heat in this building because it’s often chilly even in the winter times ",Agree,Mixed options,,Not sure,Resource bingo,,"Having to share a table ",Agree,QR codes,,complete,
2026-04-10 10:30:37,2026-04-10 10:33:13,IP Address,128.6.147.43,100,156,True,2026-04-10 10:33:13,R_7aKXNnsFVlvU7Tm,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Agree,No,"bring back the loaded potato gnocchi. ",Agree,Mixed options,,Not sure,Trivia or theme days,,loaded potato gnocchi,Agree,Events,,complete,
2026-04-10 10:32:58,2026-04-10 10:34:58,IP Address,128.6.147.99,100,119,True,2026-04-10 10:34:58,R_6EgKdCguAGn3NrH,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Neutral,No,"I fell less anxious and the lot of natural life made be feel good ",Strongly agree,Shared long tables,,Yes,Creative prompts,,"Anything culture, history politics ",Agree,Events,,complete,
2026-04-10 10:30:17,2026-04-10 10:35:32,IP Address,172.59.212.146,100,315,True,2026-04-10 10:35:33,R_3XhW1xnghvufVev,,,,,40.7641,-74.1654,anonymous,EN,1,No,Daily,Strongly agree,Yes,"If it was not constantly freezing in this building ",Disagree,Shared long tables,,No,Other:,"All of the above ","If there was a way to designate whether or not someone is welcome to sit with you if there are seats at a table. I feel awkward intruding on people! ",Agree,Table cards,"Rec center classes!! ",complete,
2026-04-10 10:37:36,2026-04-10 10:42:31,IP Address,172.226.201.117,100,295,True,2026-04-10 10:42:32,R_7X6bK8Ubld5K1kh,,,,,40.488,-74.4544,anonymous,EN,1,,1-2 times/week,Strongly agree,"Not yet, but I would like to","Maybe a bit more seating to visit and chat with my friends on the bottom floor (especially during lunch times) and maybe think about extending the operation times for harvest. It doesn’t have to be too long, but there are times where I would love a meal from harvest past 2pm as Harvest provides some of the most nutritious, delicious and culturally diverse foods here",Neutral,Round tables,,Yes,Daily/weekly challenges,,,Agree,Table cards,Fresh food access initiatives or even food/donation drives,complete,
2026-04-10 11:58:13,2026-04-10 12:14:56,IP Address,128.6.147.21,100,1002,True,2026-04-10 12:14:57,R_62SzyuvS3BVxp29,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Neutral,"Not yet, but I would like to","Not sure, but it seems that a large part of the people, including me, come alone just for the great food.",Neutral,Mixed options,,Not sure,Resource bingo,,"Maybe some sort of incentive ",Neutral,,Something about healthy eating,complete,
2026-04-06 08:03:06,2026-04-06 08:03:44,IP Address,128.6.147.126,43,37,False,2026-04-13 08:03:45,R_6ylpXKzkpmQbywZ,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Agree,"Not yet, but I would like to",,,,,,,,,,,,complete,
2026-04-07 09:22:59,2026-04-07 09:25:28,IP Address,172.59.214.195,79,148,False,2026-04-14 09:25:30,R_7UKokRhIoMYTPvX,,,,,40.7641,-74.1654,anonymous,EN,1,No,1-2 times/week,Strongly agree,Yes,More tables,Agree,Mixed options,,No,None,,,,,,complete,
2026-04-07 11:51:37,2026-04-07 12:01:06,IP Address,174.230.187.58,43,568,False,2026-04-14 12:01:13,R_6lRmughSl5VRDih,,,,,40.6947,-74.2688,anonymous,EN,1,Yes,1-2 times/week,Neutral,Yes,,,,,,,,,,,,complete,
2026-04-08 09:25:51,2026-04-08 09:26:38,IP Address,128.6.147.100,43,47,False,2026-04-15 09:26:40,R_7aEAEfZWOY3Jwyd,,,,,40.5511,-74.4606,anonymous,EN,1,No,1-2 times/week,Neutral,Yes,More spaces to sit,,,,,,,,,,,complete,
2026-04-16 09:42:17,2026-04-16 09:43:51,IP Address,128.6.147.89,100,93,True,2026-04-16 09:43:51,R_7wgI7v8Dgq2czDF,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Strongly agree,"Not yet, but I would like to",More seating & community building activities,Agree,Mixed options,,No,Resource bingo,,Structured events,Strongly agree,Events,"Cooking events, food sampling, career events",complete,
2026-04-16 09:54:39,2026-04-16 09:56:20,IP Address,128.6.147.81,100,101,True,2026-04-16 09:56:21,R_1Hns71Gsi5Ahvy9,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,1-2 times/week,Agree,"Not yet, but I would like to",,Agree,Mixed options,,Yes,Daily/weekly challenges,,,Agree,Table cards,,complete,
2026-04-16 09:48:39,2026-04-16 09:58:46,IP Address,172.59.215.144,100,606,True,2026-04-16 09:58:47,R_6o9fvv37XKMccOB,,,,,40.5511,-74.4606,anonymous,EN,1,No,3-4 times/week,Agree,No,,Agree,Mixed options,,Yes,Trivia or theme days,,,Agree,Table cards,"caps, wellness events",complete,
2026-04-16 10:49:43,2026-04-16 10:52:55,IP Address,172.59.211.172,100,192,True,2026-04-16 10:52:56,R_6Ev1Dkbu14x1kzO,,,,,40.7886,-74.1634,anonymous,EN,1,No,Occasionally,Neutral,No,"get rid of legume fritters ",Strongly disagree,Round tables,,No,Creative prompts,,"If you got rid of the legume fritters it would make my mood better to talk to people ",Agree,Table cards,"Services that get rid of legume fritters ",complete,
2026-04-16 11:05:37,2026-04-16 11:06:55,IP Address,146.75.223.33,100,78,True,2026-04-16 11:06:56,R_3uZMTqQ9pFzaoGz,,,,,40.4993,-74.399,anonymous,EN,1,No,1-2 times/week,Agree,No,,Strongly agree,Round tables,,Not sure,Trivia or theme days,,Trivia would be super cool,Disagree,Digital screens,,complete,
2026-04-09 11:49:11,2026-04-09 12:05:14,IP Address,172.59.208.116,79,962,False,2026-04-16 12:05:15,R_3wSPCf7GDsQYomZ,,,,,40.7597,-74.1836,anonymous,EN,,Yes,Daily,Agree,Yes,"Not enough Seating ",Agree,Mixed options,,Yes,Trivia or theme days,,,,,,error,timeout
2026-04-16 12:09:13,2026-04-16 12:10:03,IP Address,104.28.58.9,100,49,True,2026-04-16 12:10:03,R_1j7ijjZCQsoNEtX,,,,,40.5606,-74.1391,anonymous,EN,1,Yes,1-2 times/week,Neutral,No,,Agree,Mixed options,,Yes,Trivia or theme days,,,Agree,Events,,complete,
2026-04-16 12:11:18,2026-04-16 12:14:28,IP Address,128.6.147.51,100,190,True,2026-04-16 12:14:28,R_3k1i8Cl5B1K6695,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,3-4 times/week,Neutral,No,"Maybe events held here. All of the staff are very kind and friendly. ",Neutral,Mixed options,,Not sure,Daily/weekly challenges,,Snacks,Neutral,Events,N/A,complete,
2026-04-16 12:14:57,2026-04-16 12:16:30,IP Address,128.6.147.92,100,92,True,2026-04-16 12:16:30,R_5lGpT1mWapPduvC,,,,,40.5511,-74.4606,anonymous,EN,1,No,3-4 times/week,Neutral,"Not yet, but I would like to",,Disagree,Mixed options,,Yes,Trivia or theme days,,,Disagree,Table cards,,complete,
2026-04-16 12:48:49,2026-04-16 12:51:58,IP Address,128.6.147.50,100,188,True,2026-04-16 12:51:59,R_7LFK7Ute2UckF0J,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Occasionally,Neutral,No,Different areas allocated for socialization. Or more food-themed events,Agree,Mixed options,,Yes,Conversation prompts,,If we shared something similar or they were willing to talk to me.,Agree,Digital screens,A lounge area that can be optimized for resting,complete,
2026-04-16 12:54:01,2026-04-16 12:55:34,IP Address,146.75.245.79,100,92,True,2026-04-16 12:55:34,R_6OfvslzBDJQind2,,,,,40.7126,-74.0066,anonymous,EN,1,,,,,,,,,,,,,,,,complete,
2026-04-16 13:08:28,2026-04-16 13:11:55,IP Address,128.6.147.95,100,207,True,2026-04-16 13:11:55,R_7cXJRtaisz4254W,,,,,40.5511,-74.4606,anonymous,EN,1,Yes,Daily,Strongly agree,"Not yet, but I would like to",Maybe having more tables or even puff chairs would be nice,Neutral,Mixed options,,Yes,Conversation prompts,,"Knowing that we have shared interests, like hobbies, movies, etc",Agree,Events,"Destress ",complete,
2026-04-17 08:00:05,2026-04-17 08:03:17,IP Address,128.6.147.125,100,192,True,2026-04-17 08:03:17,R_1Ijg31e1gAFTTfQ,,,,,40.5511,-74.4606,anonymous,EN,1,No,3-4 times/week,Agree,No,"More single person tables! There is never enough room ): ",Neutral,Other:,"More single person tables, many times it ends up being 1 person per table",No,None,,"Nothing. I come here to relax and be in a quieter space than the dining halls ",Agree,Table cards,"More tables ",complete,
2026-04-17 08:00:03,2026-04-17 08:09:10,IP Address,172.225.112.169,100,547,True,2026-04-17 08:09:11,R_7kvn4hCn80ThmVK,,,,,40.7126,-74.0066,anonymous,EN,1,No,1-2 times/week,Agree,No,"Menus with nutrition facts. Like a calorie estimate. I don’t know if you guys already have it on social media but of course not everyone has social media. Maybe on the boards that you guys have the menus. I apologize if you already do that. Maybe the print is too small ",Neutral,Lounge seating,,Yes,Daily/weekly challenges,,"Activated with prizes. Example: a themed event and those who participate get a free side with their meal that day. You can limit how many people if you’re not comfortable giving away too many free items ",Strongly agree,QR codes,"Good guides. Like how to make smoothies, and food awareness. Especially for those who live in spaces with kitchens. ",complete,
